key,url
strava,https://www.strava.com/athletes/15520950
zoom,https://mit.zoom.us/j/8298577652
classes/nlp,https://canvas.mit.edu/courses/7503
chungus,https://en.wikipedia.org/wiki/Chungus
wikishirt,https://wikishirt.org
classes/18.102,http://math.mit.edu/~rbm/18-102-S17/
classes/6.005,http://web.mit.edu/6.031/www/fa18/general/
classes/18.100b,https://www.math.ubc.ca/~jzahl/teaching/18_100B_S2016/18100B.html
papers/unadversarial,https://arxiv.org/abs/2012.12235
papers/bugsnotfeatures,https://arxiv.org/abs/1905.02175
papers/robusttransfer,https://arxiv.org/abs/2007.08489
github,https://github.com/lengstrom
penger,http://tonypeng.com
friends/penger,http://tonypeng.com
